Time,Code,Name,Strategy,Level,Buy_Price,Qty,Program_Amt_Entry,Gap_Rate,Leader_Name
2026-03-04 12:05:03,003280,흥아해운,VALUEKING,,2915,524,-2052743000,25.11,없음
2026-03-05 09:03:17,005380,현대차,VALUEKING,,570500,2,-15183287000,13.87,없음
2026-03-05 09:03:28,000660,SK하이닉스,VALUEKING,,977000,1,134081526000,15.08,없음
2026-03-05 09:04:17,005930,삼성전자,VALUEKING,,195400,7,66942867600,13.47,없음
2026-03-05 09:14:17,032820,우리기술,VALUEKING,,16280,93,14620465640,27.59,없음
2026-03-05 09:16:54,006800,미래에셋증권,VALUEKING,,66100,22,-11000295900,16.99,없음
2026-03-05 09:17:15,006400,삼성SDI,VALUEKING,,400500,3,-7150126500,14.1,없음
2026-03-05 09:17:28,080220,제주반도체,VALUEKING,,43600,34,-3785657200,18.32,없음
2026-03-05 09:45:17,089030,테크윙,VALUEKING,,62000,24,9326660000,21.57,없음
2026-03-05 09:45:36,079550,LIG넥스원,VALUEKING,,667000,2,-26543265000,7.75,없음
2026-03-05 09:54:44,012450,한화에어로스페이스,VALUEKING,,1371000,1,6660318000,3.63,없음
2026-03-05 10:07:23,086520,에코프로,VALUEKING,,161000,9,11970511000,20.33,없음
2026-03-05 10:11:18,272210,한화시스템,VALUEKING,,134200,11,17853699600,15.69,없음
2026-03-05 11:49:40,064350,현대로템,VALUEKING,,231000,6,52395420000,14.36,없음
2026-03-05 13:16:17,277810,레인보우로보틱스,VALUEKING,,855000,1,7849755000,21.45,없음
2026-03-05 13:29:39,036930,주성엔지니어링,VALUEKING,,66400,23,20558967200,23.42,없음
2026-03-05 13:39:46,000250,삼천당제약,VALUEKING,,804000,1,-10096632000,24.65,없음
2026-03-05 14:05:31,058470,리노공업,VALUEKING,,122000,12,14471274000,20.91,없음
2026-03-05 14:15:43,096770,SK이노베이션,VALUEKING,,130100,11,43764599200,19.36,없음
2026-03-05 14:40:22,403870,HPSP,VALUEKING,,46900,32,42025073300,23.58,없음
2026-03-05 14:45:08,247540,에코프로비엠,VALUEKING,,203250,7,16407356250,22.74,없음
2026-03-05 14:49:14,196170,알테오젠,VALUEKING,,388500,3,32700822000,17.02,없음
2026-03-05 14:56:34,090710,휴림로봇,VALUEKING,,13300,114,13547606100,27.76,없음
