Time,Code,Name,Strategy,Reason,Buy_Price,Sell_Price,Qty,Profit_Rate(%),Hold_Min(분),Max_Price_During_Hold,Min_Price_During_Hold,Entry_PG_Amt,Max_PG_Amt_During_Hold,Exit_PG_Amt
2026-01-09 09:01:14,272210,한화시스템,MORNING,📉수급이탈(12억 < Max 17억),63300.0,62800.0,35,-0.79,0,63800,63000,1692072300,1702764700,1179949200
2026-01-09 09:05:17,012200,계양전기,MORNING,📉수급이탈(1억 < Max 1억),12260.0,12410.0,183,1.22,1,12390,12260,133057780,134360140,110064290
2026-01-09 15:15:10,010140,삼성중공업,PROGRAM,장 마감(Time-Cut),28125.0,28575.0,79,1.6,346,28600,27550,30395926500,117942310200,117838042200
2026-01-09 15:15:12,009540,HD한국조선해양,PROGRAM,장 마감(Time-Cut),441500.0,444500.0,5,0.68,336,446000,434000,20156241000,83390775000,83343750000
2026-01-09 15:15:14,105560,KB금융,PROGRAM,장 마감(Time-Cut),126600.0,126500.0,17,-0.08,283,127800,126200,20027360400,27008580000,24269657500
2026-01-09 15:15:16,082740,한화엔진,PROGRAM,장 마감(Time-Cut),48000.0,49550.0,23,3.23,254,49900,47950,20027424000,42448444450,42448444450
2026-01-09 15:15:18,035420,NAVER,PROGRAM,장 마감(Time-Cut),256000.0,253500.0,8,-0.98,236,256250,252500,20837888000,31374251000,30113772000
2026-01-12 09:06:45,034020,두산에너빌리티,PROGRAM,📉수급이탈(148억 < Max 198억),89900.0,89900.0,25,0.0,1,90200,89800,17995642600,19765616200,14769581100
2026-01-12 09:22:57,000720,현대건설,MORNING,"🎢트레일링 스탑
기준: 80,700원
최고: 6.6% / 현재: 4.7%
⚠️호가불안 (Gap: 1%)",80700.0,84500.0,14,4.71,19,86000,80500,4660021500,12968927400,12842141000
2026-01-12 09:32:47,086520,에코프로,PROGRAM,📉수급이탈(135억 < Max 163억),92700.0,93500.0,24,0.86,12,94500,92700,12065739300,16314186000,13712616500
2026-01-12 09:57:35,000250,삼천당제약,PROGRAM,📉본전 이탈(익절 후 반납),265500.0,265500.0,4,0.0,12,271500,264500,12618418500,15673695000,15494314500
2026-01-12 10:33:15,042660,한화오션,PROGRAM,"🎢트레일링 스탑
기준: 137,300원
최고: 8.1% / 현재: 6.7%
⚠️호가불안 (Gap: 1%)",137300.0,146600.0,8,6.77,63,148400,137300,10162671400,90163718000,90272615000
2026-01-12 12:17:40,000720,현대건설,PROGRAM,"🎢트레일링 스탑
기준: 84,800원
최고: 6.0% / 현재: 4.6%
⚠️호가불안 (Gap: 1%)",84800.0,88600.0,13,4.48,133,89900,84000,20427641600,43997240600,42328029800
2026-01-12 14:23:32,267270,HD현대건설기계,MORNING,장 마감(Time-Cut),120900.0,122600.0,9,1.41,317,124500,118700,1505809500,8327100600,9360264800
2026-01-12 14:23:42,005490,POSCO홀딩스,PROGRAM,장 마감(Time-Cut),308750.0,309000.0,7,0.08,307,309250,306500,10523743750,24545494000,36734538000
2026-01-12 14:23:51,003670,포스코퓨처엠,PROGRAM,장 마감(Time-Cut),184800.0,187200.0,6,1.3,299,188800,184100,10452842400,20994937600,21230726400
2026-01-12 14:24:01,000150,두산,PROGRAM,장 마감(Time-Cut),771000.0,763000.0,2,-1.04,282,781000,770000,10114749000,25852212000,24409896000
2026-01-12 14:24:20,042660,한화오션,PROGRAM,장 마감(Time-Cut),146700.0,145800.0,15,-0.61,125,146700,146700,154551530700,154551530700,187448644800
2026-01-12 14:42:58,000720,현대건설,PROGRAM,장 마감(Time-Cut),89300.0,89500.0,25,0.22,1,89300,89300,48776195800,48776195800,50047236500
2026-01-13 09:53:54,250060,모비스,RECOVERED,📉본전 이탈(익절 후 반납),4625.0,4590.0,125,-0.76,15,4795,4600,-37246920,306368400,-42035220
2026-01-13 10:14:00,012330,현대모비스,RECOVERED,"🎢트레일링 스탑
기준: 444,500원
최고: 4.8% / 현재: 3.8%
⚠️호가불안 (Gap: 1%)",444500.0,461000.0,3,3.71,35,466000,442500,16348597500,18315236500,14918421000
2026-01-13 10:42:25,005490,POSCO홀딩스,RECOVERED,장 마감(Time-Cut),330673.07692307694,338000.0,13,2.22,64,340000,327000,74975748000,128270908500,127665642000
2026-01-13 10:42:35,329180,HD현대중공업,RECOVERED,장 마감(Time-Cut),625000.0,626000.0,3,0.16,64,634000,621000,18065368000,33509452000,33452188000
2026-01-13 10:42:44,307950,현대오토에버,MORNING,장 마감(Time-Cut),519000.0,517000.0,4,-0.39,63,529000,514000,1429845000,11114819000,7833584000
2026-01-13 10:42:50,204320,HL만도,MORNING,장 마감(Time-Cut),61900.0,61000.0,37,-1.45,48,62800,60700,19329946300,22679906000,22113659000
2026-01-13 10:42:56,036570,엔씨소프트,RECOVERED,장 마감(Time-Cut),239000.0,238500.0,9,-0.21,27,242000,238000,5231497500,9870513500,9819999000
2026-01-13 12:38:19,000880,한화,PROGRAM,📉본전 이탈(익절 후 반납),101800.0,102100.0,11,0.29,30,104400,101800,28896846200,31273985400,30941507100
2026-01-13 15:15:10,005490,POSCO홀딩스,PROGRAM,장 마감(Time-Cut),346000.0,353000.0,3,2.02,237,354000,340000,151362544000,213219060000,213214824000
2026-01-13 15:15:17,329180,HD현대중공업,PROGRAM,장 마감(Time-Cut),633000.0,641000.0,3,1.26,217,642000,631000,38519316000,69224292000,69151080000
2026-01-13 15:15:23,015760,한국전력,PROGRAM,장 마감(Time-Cut),54400.0,55600.0,21,2.21,156,55700,54200,25711942400,60121354600,59996514400
2026-01-14 09:03:34,011070,LG이노텍,THEME,🚨대장주(모베이스) 상풀림/이탈,296000.0,295500.0,7,-0.17,0,296000,296000,0,0,887682000
2026-01-14 09:06:47,042700,한미반도체,MORNING,📉본전 이탈(익절 후 반납),181700.0,181700.0,6,0.0,4,185800,181700,4822318000,6341725600,-168617600
2026-01-14 09:08:34,000720,현대건설,PROGRAM,📉수급이탈(57억 < Max 67억),95400.0,96100.0,24,0.73,1,96000,95300,6569434800,6684773550,5669515600
2026-01-14 09:11:15,010120,LS ELECTRIC,PROGRAM,📉수급이탈(73억 < Max 88억),521000.0,545000.0,2,4.61,3,544000,517000,5047448000,8792008000,7318805000
2026-01-14 09:17:37,000270,기아,PROGRAM,"🎢트레일링 스탑
기준: 140,200원
최고: 4.2% / 현재: 2.8%
⚠️호가불안 (Gap: 1%)",140200.0,144000.0,8,2.71,14,146100,138500,8129356800,25167505000,22271904000
2026-01-14 09:20:20,000720,현대건설,PROGRAM,📉수급이탈(41억 < Max 50억),95700.0,96100.0,24,0.42,1,96100,95700,5003483100,5003483100,4066567600
2026-01-14 09:23:09,066570,LG전자,MORNING,📉손절선 이탈(-2.08%),96000.0,93900.0,24,-2.19,20,97000,94000,3704352000,9152823000,375787800
2026-01-14 09:46:45,267260,HD현대일렉트릭,PROGRAM,📉수급이탈(100억 < Max 123억),916000.0,907000.0,2,-0.98,35,929000,900000,5617828000,12286953000,10013280000
2026-01-14 09:58:01,003230,삼양식품,PROGRAM,📉손절선 이탈(-2.11%),1232000.0,1205000.0,1,-2.19,22,1232000,1206000,10648176000,10656800000,9327905000
2026-01-14 10:17:09,298040,효성중공업,PROGRAM,📉손절선 이탈(-2.02%),2125000.0,2080000.0,1,-2.12,66,2175000,2082000,5399625000,16570396000,15048800000
2026-01-14 10:18:47,052690,한전기술,PROGRAM,"🎢트레일링 스탑
기준: 112,000원
최고: 7.7% / 현재: 6.6%
⚠️호가불안 (Gap: 1%)",112000.0,119400.0,10,6.61,53,120600,110000,5373760000,22203183600,21832528800
2026-01-14 12:59:30,052690,한전기술,PROGRAM,📉손절선 이탈(-2.21%),117500.0,115400.0,19,-1.79,87,117900,114900,25140770000,31592575700,30750638000
2026-01-14 13:55:46,056080,유진로봇,RECOVERED,📉손절선 이탈(-2.07%),20250.0,19840.0,100,-2.02,10,20200,19830,7733408400,7789473600,7017269120
2026-01-14 15:15:48,034020,두산에너빌리티,PROGRAM,장 마감(Time-Cut),89950.0,89600.0,75,-0.39,319,90800,88900,51196095600,156936429000,156863616000
2026-01-14 15:15:55,052690,한전기술,PROGRAM,장 마감(Time-Cut),116500.0,116500.0,19,0.0,55,117500,115700,35415184500,40067841000,40053166000
2026-01-15 09:20:22,047050,포스코인터내셔널,PROGRAM,📉수급이탈(46억 < Max 55억),58100.0,57300.0,40,-1.38,2,58200,57300,5347407800,5458287000,4562054100
2026-01-15 09:25:51,042660,한화오션,PROGRAM,📉본전 이탈(익절 후 반납),148600.0,148400.0,8,-0.13,14,152300,148000,6977810200,23326856000,22508421600
2026-01-15 09:27:02,071050,한국금융지주,PROGRAM,📉손절선 이탈(-2.14%),182100.0,178500.0,12,-1.98,6,182300,178200,5626161600,5750649400,5538498000
2026-01-15 09:27:50,464080,에스오에스랩,PROGRAM,📉손절선 이탈(-2.11%),21350.0,20850.0,108,-2.34,1,21500,20900,8950859400,9250031000,8102810400
2026-01-15 09:27:59,455900,엔젤로보틱스,PROGRAM,📉손절선 이탈(-2.08%),36100.0,35350.0,63,-2.08,0,36100,35350,6480130500,6526233450,6489517650
2026-01-15 09:28:54,022100,포스코DX,PROGRAM,📉수급이탈(52억 < Max 61억),33300.0,33200.0,68,-0.3,0,33450,33200,6079347900,6114091350,5157022400
2026-01-15 09:36:36,353200,대덕전자,PROGRAM,"🎢트레일링 스탑
기준: 48,050원
최고: 5.9% / 현재: 3.7%
이격정상 (Gap: 2%)",48050.0,50100.0,24,4.27,27,50900,48000,5345850800,17754675700,17843716200
2026-01-15 09:59:28,007660,이수페타시스,PROGRAM,📉수급이탈(186억 < Max 219억),120000.0,121100.0,10,0.92,56,123000,119500,5922960000,21883668000,18532296300
