Time,Code,Name,Strategy,Reason,Buy_Price,Sell_Price,Qty,Profit_Rate(%),Hold_Min(분),Max_Price_During_Hold,Min_Price_During_Hold,Entry_PG_Amt,Max_PG_Amt_During_Hold,Exit_PG_Amt
2026-02-19 09:04:07,028260,삼성물산,PROGRAM,📉손절선 이탈(-2.08%),336000.0,329000.0,4,-2.08,2,336000,329000,6150816000,6814830000,6794179000
2026-02-19 09:07:44,329180,HD현대중공업,PROGRAM,📉본전 이탈(익절 후 반납),582000.0,583000.0,1,0.17,4,594000,580000,5026734000,11357729000,10793079000
2026-02-19 09:08:13,009830,한화솔루션,PROGRAM,"🎢트레일링 스탑
기준: 48,700원
최고: 4.9% / 현재: 2.9%
이격정상 (Gap: 2%)",48700.0,50200.0,15,3.08,3,51100,48700,9577731600,19097664000,16125394600
2026-02-19 09:08:26,322000,HD현대에너지솔루션,PROGRAM,📉손절선 이탈(-2.26%),88500.0,86700.0,17,-2.03,2,88600,86500,5194861500,5922982800,5413114500
2026-02-19 09:20:25,491000,리브스메드,PROGRAM,📉손절선 이탈(-2.07%),82200.0,80500.0,18,-2.07,8,82300,80500,5312010600,5371852200,4824123500
2026-02-19 09:24:29,009150,삼성전기,PROGRAM,"🎢트레일링 스탑
기준: 334,500원
최고: 6.7% / 현재: 4.6%
이격정상 (Gap: 2%)",334500.0,350000.0,2,4.63,23,357000,334500,6941878500,35253157500,33197850000
2026-02-19 09:46:36,024060,흥구석유,PROGRAM,📉손절선 이탈(-2.20%),15030.0,14680.0,99,-2.33,21,15040,14700,5239322730,5342827100,5015921120
2026-02-19 09:49:05,005690,파미셀,PROGRAM,📉손절선 이탈(-2.28%),17580.0,17180.0,85,-2.28,26,17920,17180,6432451680,9440790840,7081853700
2026-02-19 09:59:29,034220,LG디스플레이,PROGRAM,📉손절선 이탈(-2.00%),12490.0,12240.0,119,-2.0,27,12570,12240,21191770510,23978858840,23490151200
2026-02-19 10:20:02,042660,한화오션,PROGRAM,📉추세이탈(메모리봉: 6개중 4개 음봉),137900.0,140400.0,5,1.81,75,142500,137500,5823379100,66333859200,66197898000
2026-02-19 15:15:03,086520,에코프로,PROGRAM,장 마감(Time-Cut),169600.0,172600.0,4,1.77,134,173650,167700,77043852800,136707938400,136628779200
2026-02-19 15:15:06,089030,테크윙,PROGRAM,장 마감(Time-Cut),47400.0,47150.0,31,-0.53,134,47450,46550,30189012600,34187243200,34151027900
2026-02-19 15:15:08,000250,삼천당제약,PROGRAM,장 마감(Time-Cut),634000.0,640000.0,2,0.95,111,641000,632000,28746828000,30101435000,29353600000
2026-02-20 09:04:06,009150,삼성전기,PROGRAM,📉수급이탈(53억 < Max 76억),370000.0,376500.0,2,1.76,2,378500,370000,7181700000,7597116000,5320698000
2026-02-20 09:10:10,034220,LG디스플레이,PROGRAM,"🎢트레일링 스탑
기준: 13,220원
최고: 7.2% / 현재: 5.1%
이격정상 (Gap: 2%)",13220.0,13910.0,56,5.22,7,14170,13170,5377446520,17164135170,16335264140
2026-02-20 10:20:04,034020,두산에너빌리티,PROGRAM,📉추세이탈(메모리봉: 6개중 4개 음봉),103100.0,104700.0,7,1.55,66,106800,103100,21466451000,131741392500,131741392500
2026-02-20 10:46:45,006910,보성파워텍,PROGRAM,🚀상한가 도달(VI) 전량익절,12650.0,12680.0,118,0.24,6,12680,12550,21289608450,23420353080,23420353080
2026-02-20 10:55:02,096770,SK이노베이션,PROGRAM,📉추세이탈(메모리봉: 6개중 4개 음봉),124800.0,126000.0,6,0.96,108,128600,122900,5394480000,24317499100,24156720000
2026-02-20 13:20:03,052690,한전기술,PROGRAM,📉추세이탈(메모리봉: 12개중 8개 음봉),167800.0,165100.0,8,-1.61,64,167800,165000,20870796200,22272805000,22227247900
2026-02-20 15:15:08,042660,한화오션,PROGRAM,장 마감(Time-Cut),151100.0,149700.0,9,-0.93,60,151400,149400,147553683000,180677525000,180556912500
2026-02-23 09:03:18,086520,에코프로,MORNING,📉손절선 이탈(-1.04%),183200.0,181600.0,8,-0.87,0,183400,181300,2631301600,2634174200,687174400
2026-02-23 09:03:56,439260,대한조선,MORNING,📉손절선 이탈(-1.08%),92200.0,91200.0,16,-1.08,2,93800,91200,217776400,1888944400,974016000
