Time,Code,Name,Price,Volume,Trade_Amt(100M),Rate(%)
09:00:23,233740,KODEX 코스닥150레버,18645,2699967,503,9.9027
09:00:23,396500,TIGER 반도체TOP10,33900,970322,328,8.0306
09:00:23,232080,TIGER 코스닥150,21215,471690,100,4.9468
09:00:23,035720,카카오,52100,176133,91,3.373
09:00:23,043260,성호전자,44900,201312,90,16.6234
09:00:23,495050,RISE 코리아밸류업,24605,271757,66,5.3522
09:00:23,322000,HD현대에너지솔루션,110300,50847,56,4.1549
09:00:23,0093A0,RISE AI반도체TOP10,32505,143576,46,5.2112
09:00:23,279570,케이뱅크,7240,595499,43,4.4733
09:00:23,148020,RISE 200,83145,52084,43,5.514
09:00:23,395160,KODEX AI반도체,27890,143777,40,7.6626
09:00:23,469150,ACE AI반도체TOP3+,47475,73699,34,7.7875
09:00:23,001510,SK증권,1894,1608500,30,10.825
09:00:23,290130,RISE ESG사회책임투자,32770,62769,20,6.1548
09:00:23,000390,삼화페인트,10100,178402,18,6.6526
09:00:23,434730,HANARO 원자력iSelect,65820,27015,17,5.5654
09:00:23,139260,TIGER 200 IT,80950,21166,17,6.4851
09:00:23,476830,알지노믹스,177100,9131,16,3.993
09:00:23,032830,삼성생명,213500,7081,15,6.4838
09:00:23,071050,한국금융지주,232000,6459,14,6.422
09:00:23,226490,KODEX 코스피,57060,21935,12,5.5689
09:30:16,005930,삼성전자,188300,7059640,13293,8.5303
09:30:16,000660,SK하이닉스,922000,1014173,9350,10.2871
09:30:16,122630,KODEX 레버리지,82250,6328371,5205,12.9032
09:30:16,032820,우리기술,20050,23686711,4749,15.896
09:30:16,034020,두산에너빌리티,103600,3223867,3339,7.6923
09:30:16,069500,KODEX 200,82990,3953363,3280,6.0846
09:30:16,279570,케이뱅크,7780,21264850,1654,12.2655
09:30:16,102110,TIGER 200,82955,1711691,1419,6.2096
09:30:16,043260,성호전자,48750,2629554,1281,26.6234
09:30:16,036930,주성엔지니어링,68500,1161275,795,14.3573
09:30:16,010170,대한광통신,4745,9474369,449,11.7786
09:30:16,115180,큐리언트,51900,863291,448,27.8325
09:30:16,234340,헥토파이낸셜,37850,1064928,403,8.6083
09:30:16,108490,로보티즈,255500,141714,362,9.6567
09:30:16,000720,현대건설,155700,235800,367,6.3525
09:30:16,015750,성우하이텍,9800,3389259,332,27.4382
09:30:16,006910,보성파워텍,9900,2749511,272,7.1429
09:30:16,0091P0,TIGER 코리아원자력,19430,1337076,259,7.2592
09:30:16,124500,아이티센글로벌,62000,398858,247,10.9123
09:30:16,353200,대덕전자,64800,384017,248,7.6412
09:30:16,055550,신한지주,91400,251757,230,3.2768
10:00:23,005930,삼성전자,189500,11377919,21561,9.2219
10:00:23,000660,SK하이닉스,931000,1502994,13992,11.3636
10:00:23,122630,KODEX 레버리지,83065,9680335,8040,14.022
10:00:23,032820,우리기술,21150,38954776,8238,22.2543
10:00:23,069500,KODEX 200,83400,6920011,5771,6.6087
10:00:23,034020,두산에너빌리티,103800,4815849,4998,7.9002
10:00:23,279570,케이뱅크,8200,43735159,3586,18.3261
10:00:23,102110,TIGER 200,83375,2771039,2310,6.7473
10:00:23,005935,삼성전자우,131100,1580000,2071,7.9012
10:00:23,043260,성호전자,44750,3442956,1540,16.2338
10:00:23,036930,주성엔지니어링,67200,2004973,1347,12.187
10:00:23,009150,삼성전기,403500,241561,974,5.6283
10:00:23,000270,기아,161000,586095,943,4.9544
10:00:23,083650,비에이치아이,110000,688667,757,12.5896
10:00:23,000720,현대건설,157300,472845,743,7.4454
10:00:23,006910,보성파워텍,10440,7188279,750,12.987
10:00:23,498400,KODEX 200타겟위클리,17545,3794690,665,6.2368
10:00:23,402340,SK스퀘어,554000,120049,665,8.8409
10:00:23,047040,대우건설,9400,6445625,605,6.6969
10:00:23,353200,대덕전자,66400,918177,609,10.299
10:00:23,010170,대한광통신,4890,12210485,597,15.1943
10:00:23,234340,헥토파이낸셜,38750,1270406,492,11.1908
10:00:23,0091P0,TIGER 코리아원자력,19810,2465912,488,9.3569
10:00:23,108490,로보티즈,260000,173910,452,11.588
10:00:23,218410,RFHIC,76100,583713,444,20.4114
10:00:23,015750,성우하이텍,9390,4431924,416,22.1066
10:00:23,010120,LS ELECTRIC,733000,53840,394,7.6358
10:00:23,298040,효성중공업,2593000,14872,385,8.5391
10:00:23,090710,휴림로봇,12950,2878134,372,8.459
10:00:23,267260,HD현대일렉트릭,965000,37389,360,6.3947
10:00:23,487240,KODEX AI전력핵심설비,31140,1148801,357,6.135
10:30:06,005930,삼성전자,189500,13351997,25302,9.2219
10:30:06,000660,SK하이닉스,934000,1918861,17922,11.7225
10:30:06,032820,우리기술,21550,47788761,10298,24.5665
10:30:06,122630,KODEX 레버리지,82810,11513494,9534,13.6719
10:30:06,069500,KODEX 200,83275,8622373,7180,6.4489
10:30:06,034020,두산에너빌리티,103800,6012150,6240,7.9002
10:30:06,279570,케이뱅크,7890,58390944,4607,13.8528
10:30:06,396500,TIGER 반도체TOP10,33805,10588691,3579,7.7279
10:30:06,005935,삼성전자우,132000,2116095,2793,8.642
10:30:06,102110,TIGER 200,83210,3290715,2738,6.5361
10:30:06,043260,성호전자,47050,4070397,1915,22.2078
10:30:06,036930,주성엔지니어링,68100,2210358,1505,13.6895
10:30:06,006910,보성파워텍,10820,12633639,1366,17.0996
10:30:06,009150,삼성전기,405000,310064,1255,6.0209
10:30:06,000270,기아,161400,710685,1147,5.2151
10:30:06,010170,대한광통신,5130,21410094,1098,20.8481
10:30:06,187660,현대ADM,19490,5187443,1011,12.1404
10:30:06,083650,비에이치아이,108900,875855,953,11.4637
10:30:06,402340,SK스퀘어,558000,169150,943,9.6267
10:30:06,000720,현대건설,156200,566315,884,6.694
10:30:06,498400,KODEX 200타겟위클리,17525,4574164,801,6.1157
10:30:06,047040,대우건설,9460,7828111,740,7.378
10:30:06,115180,큐리언트,49400,1396230,689,21.6749
10:30:06,353200,대덕전자,65400,1014071,663,8.6379
10:30:06,218410,RFHIC,77100,842516,649,21.9937
10:30:06,0091P0,TIGER 코리아원자력,19835,3158342,626,9.4949
10:30:06,234340,헥토파이낸셜,39700,1577387,626,13.9168
10:30:06,000390,삼화페인트,10090,5636203,568,6.547
10:30:06,108490,로보티즈,267000,201430,537,14.5923
10:30:06,298040,효성중공업,2559000,19403,496,7.1159
10:30:06,010120,LS ELECTRIC,737000,65752,484,8.2232
10:30:06,015750,성우하이텍,9650,4960921,478,25.4876
10:30:06,347700,스피어,52700,917066,483,10.0209
10:30:06,487240,KODEX AI전력핵심설비,31040,1416373,439,5.7941
11:00:06,005930,삼성전자,190500,16071081,30615,9.7983
11:00:06,000660,SK하이닉스,942500,2285657,21542,12.7392
11:00:06,122630,KODEX 레버리지,83565,13311251,11123,14.7083
11:00:06,032820,우리기술,21500,53977911,11605,24.2775
11:00:06,069500,KODEX 200,83650,9959200,8330,6.9283
11:00:06,034020,두산에너빌리티,103100,6692454,6899,7.1726
11:00:06,279570,케이뱅크,7870,63574790,5003,13.5642
11:00:06,396500,TIGER 반도체TOP10,33925,12240869,4152,8.1103
11:00:06,005935,삼성전자우,133500,2511152,3352,9.8765
11:00:06,102110,TIGER 200,83600,3796597,3173,7.0354
11:00:06,005380,현대차,540000,583643,3151,6.5089
11:00:06,488080,TIGER 반도체TOP10레,45060,5758618,2594,16.2689
11:00:06,043260,성호전자,46800,4339165,2030,21.5584
11:00:06,036930,주성엔지니어링,69500,2485603,1727,16.0267
11:00:06,187660,현대ADM,19150,8526228,1632,10.1841
11:00:06,006910,보성파워텍,10850,14778458,1603,17.4242
11:00:06,009150,삼성전기,407500,355426,1448,6.6754
11:00:06,000270,기아,162100,831518,1347,5.6714
11:00:06,402340,SK스퀘어,562000,206106,1158,10.4126
11:00:06,083650,비에이치아이,109100,944086,1029,11.6684
11:00:06,000720,현대건설,157400,636472,1001,7.5137
11:00:06,498400,KODEX 200타겟위클리,17590,5331298,937,6.5092
11:00:06,047040,대우건설,9720,9728753,945,10.3292
11:00:06,115180,큐리언트,49650,1570049,779,22.2906
11:00:06,234340,헥토파이낸셜,40050,1850205,741,14.9211
11:00:06,218410,RFHIC,79000,938727,741,25.0
11:00:06,0091P0,TIGER 코리아원자력,19900,3618534,720,9.8537
11:00:06,353200,대덕전자,65200,1085995,708,8.3056
11:00:06,108490,로보티즈,266500,221995,591,14.3777
11:00:06,010120,LS ELECTRIC,743000,78432,582,9.1043
11:00:06,298040,효성중공업,2568000,21919,562,7.4927
11:00:06,267260,HD현대일렉트릭,964000,56633,545,6.2845
11:00:06,462330,KODEX 2차전지산업레,1759,31066204,546,8.3128
11:00:06,015750,성우하이텍,9780,5576086,545,27.1782
11:00:06,395160,KODEX AI반도체,27915,1931933,539,7.7591
11:00:06,007660,이수페타시스,114100,463929,529,10.1351
11:00:06,105840,우진,26900,1990812,535,20.0893
11:30:14,005930,삼성전자,190400,17452869,33230,9.7406
11:30:14,000660,SK하이닉스,946000,2516852,23809,13.1579
11:30:14,122630,KODEX 레버리지,83425,14378825,11995,14.5161
11:30:14,032820,우리기술,21050,56597306,11913,21.6763
11:30:14,069500,KODEX 200,83545,10792095,9016,6.7941
11:30:14,034020,두산에너빌리티,103000,6927340,7135,7.0686
11:30:14,279570,케이뱅크,7800,66816214,5211,12.5541
11:30:14,396500,TIGER 반도체TOP10,34010,13439007,4570,8.3811
11:30:14,005935,삼성전자우,134300,2912682,3911,10.535
11:30:14,102110,TIGER 200,83540,4360161,3642,6.9586
11:30:14,091160,KODEX 반도체,101360,2820884,2859,8.6971
11:30:14,488080,TIGER 반도체TOP10레,45275,6153800,2786,16.8236
11:30:14,036930,주성엔지니어링,73700,3300361,2432,23.0384
11:30:14,494310,KODEX 반도체레버리지,70820,3200154,2266,15.22
11:30:14,043260,성호전자,47000,4570527,2148,22.0779
11:30:14,006910,보성파워텍,10490,15836731,1661,13.5281
11:30:14,009150,삼성전기,406500,397744,1616,6.4136
11:30:14,000270,기아,162800,911321,1483,6.1278
11:30:14,402340,SK스퀘어,560000,236410,1323,10.0196
11:30:14,395270,HANARO Fn K-반도체,34325,3227491,1107,8.4176
11:30:14,083650,비에이치아이,108200,985191,1065,10.7472
11:30:14,000720,현대건설,156700,674364,1056,7.0355
11:30:14,047040,대우건설,9540,11105546,1059,8.286
11:30:14,498400,KODEX 200타겟위클리,17585,5699352,1002,6.479
11:30:14,403870,HPSP,47300,2138014,1011,8.7356
11:30:14,218410,RFHIC,77700,1142253,887,22.943
11:30:14,115180,큐리언트,50400,1677032,845,24.1379
11:30:14,234340,헥토파이낸셜,39450,2049849,808,13.1994
11:30:14,0091P0,TIGER 코리아원자력,19755,3851019,760,9.0533
11:30:14,353200,대덕전자,65800,1136325,747,9.3023
11:30:14,462330,KODEX 2차전지산업레,1754,40666610,713,8.0049
11:30:14,090710,휴림로봇,12950,5034894,652,8.459
11:30:14,298040,효성중공업,2558000,24377,623,7.0741
11:30:14,395160,KODEX AI반도체,28050,2245562,629,8.2803
11:30:14,010120,LS ELECTRIC,737000,85164,627,8.2232
11:30:14,007660,이수페타시스,115500,547057,631,11.4865
11:30:14,108490,로보티즈,265250,233210,618,13.8412
12:00:10,000660,SK하이닉스,928000,2867502,26610,11.0048
12:00:10,032820,우리기술,20750,60259285,12503,19.9422
12:00:10,034020,두산에너빌리티,101700,7583207,7712,5.7173
12:00:10,279570,케이뱅크,7740,72801456,5634,11.6883
12:00:10,005935,삼성전자우,131500,3293999,4331,8.2305
12:00:10,036930,주성엔지니어링,72100,3793727,2735,20.3673
12:00:10,010170,대한광통신,5400,43683026,2358,27.2085
12:00:10,043260,성호전자,46850,4656197,2181,21.6883
12:00:10,006910,보성파워텍,10280,16789014,1725,11.2554
12:00:10,083650,비에이치아이,106300,1040712,1106,8.8025
12:00:10,047040,대우건설,9390,11890582,1116,6.5834
12:00:10,115180,큐리언트,51000,1738124,886,25.6158
12:00:10,0091P0,TIGER 코리아원자력,19470,4216276,820,7.48
12:00:10,234340,헥토파이낸셜,39050,2125132,829,12.0516
12:00:10,353200,대덕전자,64700,1195451,773,7.4751
12:00:10,007660,이수페타시스,113300,636187,720,9.3629
12:00:10,010120,LS ELECTRIC,729000,94264,687,7.0485
12:00:10,144600,KODEX 은선물(H),14730,4574447,673,5.478
12:00:10,015750,성우하이텍,9710,6872712,667,26.2679
12:30:10,000660,SK하이닉스,928500,3118644,28956,11.0646
12:30:10,122630,KODEX 레버리지,81030,17259808,13985,11.2286
12:30:10,032820,우리기술,21100,62709289,13231,21.9653
12:30:10,034020,두산에너빌리티,102200,7962525,8137,6.237
12:30:10,279570,케이뱅크,7650,75246106,5756,10.3896
12:30:10,005935,삼성전자우,131800,3655538,4817,8.4774
12:30:10,036930,주성엔지니어링,70800,4095087,2899,18.197
12:30:10,043260,성호전자,48200,4931383,2376,25.1948
12:30:10,006910,보성파워텍,10230,17338180,1773,10.7143
12:30:10,047040,대우건설,9440,12436654,1174,7.151
12:30:10,083650,비에이치아이,107200,1065891,1142,9.7236
12:30:10,115180,큐리언트,50800,1820043,924,25.1232
12:30:10,0091P0,TIGER 코리아원자력,19530,4456686,870,7.8112
12:30:10,234340,헥토파이낸셜,38700,2179100,843,11.0473
12:30:10,000390,삼화페인트,10200,8086402,824,7.7086
12:30:10,007660,이수페타시스,113200,669281,757,9.2664
12:30:10,010120,LS ELECTRIC,728000,101479,738,6.9016
12:30:10,144600,KODEX 은선물(H),14680,4911274,720,5.1199
12:30:10,015750,성우하이텍,9640,7134560,687,25.3576
13:00:07,032820,우리기술,20750,65919068,13678,19.9422
13:00:07,034020,두산에너빌리티,101400,8674861,8796,5.4054
13:00:07,279570,케이뱅크,7510,79224353,5949,8.3694
13:00:07,005935,삼성전자우,131100,3994231,5236,7.9012
13:00:07,036930,주성엔지니어링,69700,4391769,3061,16.3606
13:00:07,043260,성호전자,48200,5164448,2489,25.1948
13:00:07,006910,보성파워텍,10080,18247786,1839,9.0909
13:00:07,115180,큐리언트,50400,1918464,966,24.1379
13:00:07,0091P0,TIGER 코리아원자력,19295,4751488,916,6.5139
13:00:07,234340,헥토파이낸셜,38700,2258004,873,11.0473
13:00:07,007660,이수페타시스,111800,722517,807,7.9151
13:00:07,144600,KODEX 은선물(H),14605,5308462,775,4.5829
13:30:10,000660,SK하이닉스,926000,3735040,34586,10.7656
13:30:10,032820,우리기술,21000,68530366,14391,21.3873
13:30:10,034020,두산에너빌리티,101900,9082169,9254,5.9252
13:30:10,279570,케이뱅크,7510,81629930,6130,8.3694
13:30:10,005935,삼성전자우,132600,4351078,5769,9.1358
13:30:10,036930,주성엔지니어링,70900,4665693,3307,18.3639
13:30:10,006910,보성파워텍,10200,18831708,1920,10.3896
13:30:10,115180,큐리언트,51500,2023863,1042,26.8473
13:30:10,0091P0,TIGER 코리아원자력,19415,5000006,970,7.1764
13:30:10,044490,태웅,48800,2165392,1056,21.6958
13:30:10,234340,헥토파이낸셜,38950,2294241,893,11.7647
13:30:10,007660,이수페타시스,112700,762877,859,8.7838
14:00:09,000660,SK하이닉스,925000,3938462,36430,10.6459
14:00:09,032820,우리기술,21125,69764053,14737,22.1098
14:00:09,034020,두산에너빌리티,102100,9372921,9569,6.1331
14:00:09,279570,케이뱅크,7520,82909072,6234,8.5137
14:00:09,005935,삼성전자우,132450,4627407,6129,9.0123
14:00:09,036930,주성엔지니어링,70100,4818563,3377,17.0284
14:00:09,043260,성호전자,48700,5794115,2821,26.4935
14:00:09,006910,보성파워텍,10190,19108167,1947,10.2814
14:00:09,044490,태웅,49450,2515094,1243,23.3167
14:00:09,115180,큐리언트,51900,2123004,1101,27.8325
14:00:09,0091P0,TIGER 코리아원자력,19370,5177386,1002,6.928
14:00:09,098460,고영,31600,2974960,940,7.1186
14:00:09,234340,헥토파이낸셜,39000,2359362,920,11.9082
14:30:06,000660,SK하이닉스,930000,4168760,38769,11.244
14:30:06,032820,우리기술,21050,71453199,15040,21.6763
14:30:06,034020,두산에너빌리티,102100,9665889,9868,6.1331
14:30:06,279570,케이뱅크,7520,84040445,6319,8.5137
14:30:06,005935,삼성전자우,132700,4923193,6533,9.2181
14:30:06,036930,주성엔지니어링,68800,4930210,3391,14.8581
14:30:06,043260,성호전자,48900,5988511,2928,27.013
14:30:06,006910,보성파워텍,10250,19373732,1985,10.9307
14:30:06,047040,대우건설,9430,14695514,1385,7.0375
14:30:06,044490,태웅,50400,2882065,1452,25.6858
14:30:06,115180,큐리언트,51900,2194457,1138,27.8325
14:30:06,0091P0,TIGER 코리아원자력,19435,5295043,1029,7.2868
14:30:06,098460,고영,31900,3308938,1055,8.1356
14:30:06,469150,ACE AI반도체TOP3+,46575,2182846,1016,5.7441
15:00:04,005930,삼성전자,188000,30071136,56533,8.3573
15:00:04,000660,SK하이닉스,939000,4427444,41573,12.3206
15:00:04,122630,KODEX 레버리지,81955,26792392,21957,12.4983
15:00:04,069500,KODEX 200,82810,19538830,16180,5.8545
15:00:04,032820,우리기술,20550,74212310,15250,18.7861
15:00:04,034020,두산에너빌리티,102400,9976624,10216,6.4449
15:00:04,005935,삼성전자우,133800,5359814,7171,10.1235
15:00:04,279570,케이뱅크,7520,84951887,6388,8.5137
15:00:04,036930,주성엔지니어링,69600,5041712,3509,16.1937
15:00:04,043260,성호전자,49125,6242183,3066,27.5974
15:00:04,000270,기아,160800,1517637,2440,4.824
15:00:04,402340,SK스퀘어,550000,423832,2331,8.055
15:00:04,006910,보성파워텍,10260,19711978,2022,11.039
15:00:04,044490,태웅,50400,3191391,1608,25.6858
15:00:04,047040,대우건설,9580,15579509,1492,8.7401
15:00:04,152100,PLUS 200,84090,1528540,1285,6.0671
15:00:04,115180,큐리언트,51200,2344026,1200,26.1084
15:00:04,098460,고영,31800,3535706,1124,7.7966
15:00:04,0091P0,TIGER 코리아원자력,19460,5458278,1062,7.4248
15:00:04,469150,ACE AI반도체TOP3+,46795,2267145,1060,6.2436
15:00:04,010120,LS ELECTRIC,729000,141565,1032,7.0485
15:00:04,353200,대덕전자,64500,1573882,1015,7.1429
15:00:04,007660,이수페타시스,113500,888596,1008,9.556
