Time,Code,Name,Price,Volume,Trade_Amt(100M),Rate(%),PG_Amt(100M),Market_Cap(100M)
09:00:11,322000,HD현대에너지솔루션,136100,28904,39,3.57,-5,15277
09:00:11,004090,한국석유,19300,130766,25,8.83,1,2441
09:00:11,475580,에이럭스,14300,152206,21,9.6,0,1944
09:00:11,008350,남선알미늄,1675,1213170,20,9.15,2,2171
09:00:11,005860,한일사료,4355,441728,19,8.75,0,1714
09:00:11,047050,포스코인터내셔널,75000,24009,18,4.61,-7,131766
09:00:11,474610,RF시스템즈,10650,78188,8,6.39,0,1525
09:00:11,010820,퍼스텍,7990,72944,5,5.17,1,3872
09:05:02,475150,SK이터닉스,45600,1270924,579,6.92,-58,15375
09:05:02,024060,흥구석유,22500,1113836,250,12.22,-5,3375
09:05:02,011930,신성이엔지,3105,7795566,242,5.02,40,6464
09:05:02,353200,대덕전자,77700,255577,198,2.67,102,37952
09:05:02,004090,한국석유,19250,931403,179,9.03,-13,2446
09:05:02,010170,대한광통신,7280,2521951,183,3.84,22,11350
09:05:02,475580,에이럭스,15230,1154914,175,17.51,-19,2085
09:05:02,025860,남해화학,8820,1849914,163,10.14,1,4426
09:05:02,140410,메지온,87100,192844,167,8.33,6,26462
09:05:02,097230,HJ중공업,28450,483746,137,3.08,32,25689
09:05:02,117580,대성에너지,11580,1140167,132,19.04,-12,3198
09:05:02,008350,남선알미늄,1682,6888632,115,8.96,-9,2167
09:05:02,214390,경보제약,8130,1404681,114,12.2,-4,1913
09:05:02,000440,중앙에너비스,31800,254805,81,10.45,9,1974
09:05:02,321370,센서뷰,4375,1776017,77,9.91,-10,2274
09:05:02,033320,제이씨현시스템,5720,1205772,68,10.53,-2,1084
09:10:02,475150,SK이터닉스,44950,1673041,752,5.52,-85,15172
09:10:02,011930,신성이엔지,3255,16755107,545,8.86,26,6700
09:10:02,024060,흥구석유,22600,2208725,499,12.72,-20,3390
09:10:02,010170,대한광통신,7320,5656029,414,3.98,3,11366
09:10:02,140410,메지온,91000,396532,360,12.94,-24,27586
09:10:02,353200,대덕전자,77100,435401,335,3.34,91,38199
09:10:02,117580,대성에너지,11480,2635193,302,16.99,-23,3143
09:10:02,004090,한국석유,19330,1436105,277,9.45,-11,2455
09:10:02,475580,에이럭스,14430,1800034,259,11.06,-23,1970
09:10:02,025860,남해화학,8650,2399236,207,6.92,1,4297
09:10:02,214390,경보제약,8220,2517522,206,14.31,-13,1948
