Time,Code,Name,Price,Volume,Trade_Amt(100M),Rate(%)
09:00:13,012450,한화에어로스페이스,1537000,11859,182,3.7812
09:00:13,079550,LIG넥스원,883000,17306,152,5.8753
09:00:13,458350,에스팀,37600,214344,80,10.5882
09:00:13,321370,센서뷰,2985,926199,27,10.9665
09:00:13,103140,풍산,125400,17449,21,3.4653
09:00:13,484590,삼양컴텍,15810,59234,9,8.7345
09:30:14,252670,KODEX 200선물인버스2,320,1299130944,4157,14.6953
09:30:14,047050,포스코인터내셔널,80100,1896854,1519,9.2769
09:30:14,024060,흥구석유,32300,4683457,1512,17.029
09:30:14,458350,에스팀,37250,4059301,1512,9.5588
09:30:14,003280,흥아해운,2715,28789913,781,6.4706
09:30:14,005860,한일사료,5160,11554260,596,25.5474
09:30:14,024740,한일단조,4430,11840250,524,19.086
09:30:14,117580,대성에너지,13680,2803980,383,15.2485
09:30:14,321370,센서뷰,3095,11120169,344,15.0558
10:00:04,252670,KODEX 200선물인버스2,325,2171442947,7057,16.4875
10:00:04,458350,에스팀,41450,7005676,2903,21.9118
10:00:04,003280,흥아해운,2775,36193405,1004,8.8235
10:00:04,005860,한일사료,5230,19382513,1013,27.2506
10:00:04,024740,한일단조,4260,14681548,625,14.5161
10:00:04,117580,대성에너지,13680,3694264,505,15.2485
10:00:04,008350,남선알미늄,1493,31242364,466,11.3348
10:00:04,321370,센서뷰,3065,14266656,437,13.9405
10:30:14,252670,KODEX 200선물인버스2,330,2676751657,8833,18.2796
10:30:14,114800,KODEX 인버스,1845,217284993,4008,8.9138
10:30:14,458350,에스팀,39850,8518249,3394,17.2059
10:30:14,003280,흥아해운,2790,44684156,1246,9.4118
10:30:14,117580,대성에너지,14640,7435185,1088,23.3361
10:30:14,008350,남선알미늄,1458,37437991,545,8.7248
10:30:14,321370,센서뷰,2905,16288503,473,7.9926
11:00:04,252670,KODEX 200선물인버스2,330,2708879404,8939,18.2796
11:00:04,114800,KODEX 인버스,1845,219139451,4043,8.9138
11:00:04,024060,흥구석유,32500,8967580,2914,17.7536
11:00:04,003280,흥아해운,2810,44909138,1261,10.1961
11:00:04,251340,KODEX 코스닥150선물,2120,55166084,1169,6.053
11:00:04,117580,대성에너지,14750,7668538,1131,24.2628
11:00:04,024740,한일단조,4335,18407787,797,16.5323
11:00:04,000440,중앙에너비스,36600,1933943,707,25.5575
11:00:04,053050,지에스이,3875,16197164,627,18.865
11:00:04,008350,남선알미늄,1455,37563992,546,8.5011
11:00:04,321370,센서뷰,3040,18398733,559,13.0112
11:30:10,252670,KODEX 200선물인버스2,328,3619871978,11873,17.5627
11:30:10,114800,KODEX 인버스,1837,293023946,5382,8.4416
11:30:10,047050,포스코인터내셔널,81400,3181995,2590,11.0505
11:30:10,003280,흥아해운,2720,55834128,1518,6.6667
11:30:10,117580,대성에너지,14520,9300696,1350,22.3252
11:30:10,005860,한일사료,5180,23902559,1238,26.0341
11:30:10,024740,한일단조,4340,19507616,846,16.6667
11:30:10,000440,중앙에너비스,35650,2261463,806,22.2985
11:30:10,053050,지에스이,3795,19145694,726,16.411
11:30:10,008350,남선알미늄,1430,41000748,586,6.6368
12:00:04,252670,KODEX 200선물인버스2,324,4151698159,13451,16.129
12:00:04,117580,대성에너지,14770,9905476,1463,24.4313
12:00:04,005860,한일사료,5170,24867276,1285,25.7908
12:00:04,053050,지에스이,3795,20273588,769,16.411
12:30:05,252670,KODEX 200선물인버스2,325,4526571060,14711,16.4875
12:30:05,117580,대성에너지,15070,11851902,1786,26.9587
12:30:05,005860,한일사료,5090,26535577,1350,23.8443
12:30:05,053050,지에스이,3940,25926641,1021,20.8589
12:30:05,000440,중앙에너비스,35450,2623686,930,21.6123
13:00:16,252670,KODEX 200선물인버스2,328,4822171503,15816,17.5627
13:00:16,114800,KODEX 인버스,1841,389232363,7165,8.6777
13:00:16,117580,대성에너지,14690,12634367,1855,23.7574
13:00:16,005860,한일사료,5100,27879881,1421,24.0876
13:00:16,053050,지에스이,3835,27836686,1067,17.638
13:30:21,252670,KODEX 200선물인버스2,329,5063675713,16659,17.9211
13:30:21,114800,KODEX 인버스,1841,403517374,7428,8.6777
13:30:21,117580,대성에너지,15140,13543947,2050,27.5484
13:30:21,005860,한일사료,5110,28994526,1481,24.3309
13:30:21,053050,지에스이,3967,30655736,1216,21.6871
14:00:22,252670,KODEX 200선물인버스2,331,5235744530,17330,18.638
14:00:22,114800,KODEX 인버스,1849,420049456,7766,9.1499
14:00:22,024060,흥구석유,32050,12561657,4026,16.1232
14:00:22,047050,포스코인터내셔널,81000,4159785,3369,10.5048
14:00:22,005860,한일사료,5230,30654108,1603,27.2506
14:00:22,053050,지에스이,4110,36519462,1500,26.0736
14:00:22,000440,중앙에너비스,36800,3217670,1184,26.2436
14:30:12,252670,KODEX 200선물인버스2,321,5694907304,18280,15.0538
14:30:12,117580,대성에너지,15130,15802752,2390,27.4642
14:30:12,005860,한일사료,4905,32880127,1612,19.3431
14:30:12,053050,지에스이,3875,39921629,1546,18.865
15:00:06,117580,대성에너지,15160,18058416,2737,27.7169
15:00:06,053050,지에스이,3820,43427778,1658,17.1779
15:00:06,025860,남해화학,9210,10553956,972,21.3439
