Time,Code,Name,Price,Volume,Trade_Amt(100M),Rate(%)
09:00:17,010170,대한광통신,7400,1651955,122,3.352
09:00:17,025860,남해화학,8720,255614,22,8.1886
09:00:17,000440,중앙에너비스,32100,69576,22,11.0727
09:00:17,005860,한일사료,4265,390681,16,7.702
09:00:17,017860,DS단석,21250,27737,5,8.807
09:30:10,010170,대한광통신,8665,43121986,3736,21.0196
09:30:10,050890,쏠리드,13340,20584735,2746,13.9197
09:30:10,047050,포스코인터내셔널,79800,659895,526,4.4503
09:30:10,043260,성호전자,51100,1041703,532,6.4583
09:30:10,138080,오이솔루션,35950,1505279,541,17.292
09:30:10,046120,오르비텍,7180,6386007,458,14.3312
09:30:10,380540,옵티코어,5010,8176350,409,23.8566
09:30:10,261220,KODEX WTI원유선물(H),22300,1326927,295,11.6955
09:30:10,032500,케이엠더블유,27300,988545,269,10.5263
09:30:10,321370,센서뷰,3715,6868415,255,5.9914
09:30:10,064400,LG씨엔에스,69500,351497,244,5.6231
09:30:10,006340,대원전선,5750,3145192,180,5.8932
09:30:10,019210,와이지-원,11650,1519919,177,5.1444
09:30:10,475830,오름테라퓨틱,129400,137134,177,7.9233
10:00:06,010170,대한광통신,8330,59254120,4935,16.3408
10:00:06,050890,쏠리드,12490,28062899,3505,6.661
10:00:06,043260,성호전자,50300,1645437,827,4.7917
10:00:06,047050,포스코인터내셔널,80200,869130,697,4.9738
10:00:06,138080,오이솔루션,33750,2063154,696,10.1142
10:00:06,380540,옵티코어,5170,13784767,712,27.8121
10:00:06,046120,오르비텍,7630,9252242,705,21.4968
10:00:06,006340,대원전선,5840,9017447,526,7.5506
10:00:06,261220,KODEX WTI원유선물(H),22140,1865600,413,10.8941
10:00:06,032500,케이엠더블유,26450,1556565,411,7.085
10:00:06,064400,LG씨엔에스,69200,492437,340,5.1672
10:00:06,486990,노타,43550,804779,350,16.756
10:30:05,010170,대한광통신,8070,68684422,5542,12.7095
10:30:05,038500,삼표시멘트,21700,28267277,6133,19.6251
10:30:05,050890,쏠리드,12240,30936282,3786,4.526
10:30:05,046120,오르비텍,7680,13791904,1059,22.293
10:30:05,380540,옵티코어,5060,16757657,847,25.0927
10:30:05,138080,오이솔루션,32550,2424718,789,6.199
10:30:05,006340,대원전선,5700,10829088,617,4.9724
10:30:05,261220,KODEX WTI원유선물(H),21900,2214436,484,9.692
10:30:05,032500,케이엠더블유,26550,1795768,476,7.4899
10:30:05,486990,노타,43300,1119278,484,16.0858
10:30:05,064400,LG씨엔에스,68800,570056,392,4.5593
11:00:06,038500,삼표시멘트,21250,37519866,7972,17.1444
11:00:06,010170,대한광통신,7930,75201827,5963,10.7542
11:00:06,046120,오르비텍,7825,15432058,1207,24.6019
11:00:06,380540,옵티코어,5160,18634510,961,27.5649
11:00:06,138080,오이솔루션,32050,2587736,829,4.5677
11:00:06,006340,대원전선,5790,11960363,692,6.6298
11:00:06,486990,노타,42200,1413024,596,13.1367
11:00:06,261220,KODEX WTI원유선물(H),22140,2393683,529,10.8941
11:00:06,032500,케이엠더블유,26100,1966635,513,5.668
11:00:06,064400,LG씨엔에스,68400,637972,436,3.9514
11:30:08,038500,삼표시멘트,20300,42509820,8629,11.9074,-37
11:30:08,010170,대한광통신,7570,81399872,6161,5.7263,-285
11:30:08,046120,오르비텍,7990,17701126,1414,27.2293,-10
11:30:08,047050,포스코인터내셔널,79800,1181344,942,4.4503,-28
11:30:08,006340,대원전선,5690,12413187,706,4.7882,-79
11:30:08,025860,남해화학,8990,7947093,714,11.5385,0
11:30:08,486990,노타,42100,1563669,658,12.8686,48
11:30:08,261220,KODEX WTI원유선물(H),22315,2587420,577,11.7706,0
11:30:08,000440,중앙에너비스,32050,1545212,495,10.8997,0
11:30:08,064400,LG씨엔에스,67800,686491,465,3.0395,0
12:00:05,038500,삼표시멘트,20300,45370769,9210,11.9074,-56
12:00:05,010170,대한광통신,7500,85804057,6435,4.7486,-241
12:00:05,046120,오르비텍,7850,18779897,1474,25.0,-2
12:00:05,380540,옵티코어,5030,23797087,1196,24.3511,82
12:00:05,047050,포스코인터내셔널,79900,1306359,1043,4.5812,-54
12:00:05,000440,중앙에너비스,33750,2624100,885,16.782,-10
12:00:05,025860,남해화학,8740,9178436,802,8.4367,-2
12:00:05,006340,대원전선,5690,12890540,733,4.7882,-78
12:00:05,261220,KODEX WTI원유선물(H),22475,3319282,746,12.572,0
12:00:05,486990,노타,41700,1666355,694,11.7962,50
12:30:08,038500,삼표시멘트,20200,46495939,9392,11.3561,-65
12:30:08,010170,대한광통신,7520,88919069,6686,5.0279,-262
12:30:08,050890,쏠리드,12290,34604290,4252,4.953,-227
12:30:08,046120,오르비텍,7850,19209210,1507,25.0,-3
12:30:08,380540,옵티코어,4830,26050666,1258,19.4067,79
12:30:08,000440,중앙에너비스,34950,3444081,1203,20.9343,-12
12:30:08,047050,포스코인터내셔널,80100,1368514,1096,4.8429,-63
12:30:08,025860,남해화학,8690,9661164,839,7.8164,0
12:30:08,261220,KODEX WTI원유선물(H),22665,3521554,798,13.5237,0
12:30:08,006340,대원전선,5720,13460089,769,5.3407,-83
12:30:08,486990,노타,41650,1726205,718,11.6622,51
12:30:08,064400,LG씨엔에스,68000,779181,529,3.3435,80
13:00:09,038500,삼표시멘트,19720,48907329,9644,8.71,-60
13:00:09,010170,대한광통신,7560,90633985,6851,5.5866,-274
13:00:09,050890,쏠리드,12230,35248723,4310,4.4406,-241
13:00:09,046120,오르비텍,7820,19663740,1537,24.5223,0
13:00:09,380540,옵티코어,4800,27455596,1317,18.665,79
13:00:09,000440,중앙에너비스,33475,3964459,1327,15.8304,-8
13:00:09,047050,포스코인터내셔널,79700,1448191,1154,4.3194,-73
13:00:09,025860,남해화학,8630,10004323,863,7.072,-1
13:00:09,261220,KODEX WTI원유선물(H),22505,3800558,855,12.7223,0
13:00:09,006340,대원전선,5720,13766978,787,5.3407,-84
13:00:09,486990,노타,41500,1782090,739,11.2601,55
13:30:09,038500,삼표시멘트,19730,50310804,9926,8.7652,-37
13:30:09,010170,대한광통신,7690,93879183,7219,7.4022,-307
13:30:09,050890,쏠리드,12340,35767117,4413,5.38,-234
13:30:09,046120,오르비텍,7840,20019106,1569,24.8408,7
13:30:09,380540,옵티코어,4965,28987671,1439,22.7441,75
13:30:09,000440,중앙에너비스,32700,4259246,1392,13.1488,2
13:30:09,047050,포스코인터내셔널,80400,1530633,1230,5.2356,-89
13:30:09,138080,오이솔루션,31850,3066100,976,3.9152,9
13:30:09,261220,KODEX WTI원유선물(H),22480,3935687,884,12.597,0
13:30:09,486990,노타,43300,1953040,845,16.0858,55
13:30:09,006340,대원전선,5700,14011286,798,4.9724,-85
13:30:09,032500,케이엠더블유,26100,2453842,640,5.668,7
14:00:07,038500,삼표시멘트,19550,50878034,9946,7.7729,-26
14:00:07,010170,대한광통신,7530,95579677,7197,5.1676,-285
14:00:07,050890,쏠리드,12240,36158862,4425,4.526,-231
14:00:07,380540,옵티코어,4865,30166125,1467,20.2719,58
14:00:07,000440,중앙에너비스,33400,4388720,1465,15.5709,-2
14:00:07,047050,포스코인터내셔널,80200,1638693,1314,4.9738,-102
14:00:07,043260,성호전자,49750,2578468,1282,3.6458,-44
14:00:07,486990,노타,43100,2255972,972,15.5496,51
14:00:07,261220,KODEX WTI원유선물(H),22555,4167611,940,12.9727,0
14:00:07,006340,대원전선,5720,14246621,814,5.3407,-82
14:00:07,032500,케이엠더블유,25450,2488452,633,3.0364,7
14:30:07,038500,삼표시멘트,20050,52524328,10531,10.5292,-51
14:30:07,010170,대한광통신,7620,97094112,7398,6.4246,-281
14:30:07,050890,쏠리드,12420,37434546,4649,6.0632,-215
14:30:07,380540,옵티코어,5040,32162625,1620,24.5983,53
14:30:07,000440,중앙에너비스,31800,4656690,1480,10.0346,9
14:30:07,486990,노타,44400,2640079,1172,19.0349,62
14:30:07,261220,KODEX WTI원유선물(H),22435,4797188,1076,12.3717,0
14:30:07,138080,오이솔루션,32150,3172217,1019,4.894,6
14:30:07,006340,대원전선,5760,14622311,842,6.0773,-81
14:30:07,032500,케이엠더블유,25950,2557258,663,5.0607,13
15:00:09,038500,삼표시멘트,19980,54476043,10884,10.1433,-9
15:00:09,010170,대한광통신,7630,99122561,7563,6.5642,-246
15:00:09,050890,쏠리드,12380,38241139,4734,5.7216,-199
15:00:09,380540,옵티코어,5040,33225066,1674,24.5983,57
15:00:09,486990,노타,43750,2803476,1226,17.2922,77
15:00:09,261220,KODEX WTI원유선물(H),22120,5357337,1185,10.7939,0
15:00:09,138080,오이솔루션,32300,3233028,1044,5.3834,8
15:00:09,025860,남해화학,8640,10712594,925,7.196,5
15:00:09,006340,대원전선,5900,15758625,929,8.6556,-86
