Time,Code,Name,Price,Volume,Trade_Amt(100M),Rate(%),PG_Amt(100M)
09:31:02,475150,SK이터닉스,43000,5081875,2185,15.1272,-62
09:31:02,187660,현대ADM,19330,6774494,1309,6.2088,-17
09:31:02,025860,남해화학,9910,9021947,894,13.5166,0
09:31:02,005860,한일사료,4520,17733372,801,16.1954,2
09:31:02,0007C0,아크릴,47050,1690803,795,22.2078,-31
09:31:02,004090,한국석유,21450,1892318,405,6.1881,0
09:31:02,357880,SKAI,4230,6940437,293,14.0162,0
09:31:02,003280,흥아해운,2215,12296272,272,4.9763,0
10:00:17,475150,SK이터닉스,40550,6981896,2831,8.5676,-47
10:00:17,187660,현대ADM,19530,8094457,1580,7.3077,-25
10:00:17,005860,한일사료,4500,22201385,999,15.6812,-4
10:00:17,0007C0,아크릴,45350,2213710,1003,17.7922,-15
10:00:17,003280,흥아해운,2385,27325502,651,13.0332,18
10:00:17,004090,한국석유,21400,2317983,496,5.9406,0
10:00:17,357880,SKAI,4300,10630951,457,15.903,0
10:00:17,263750,펄어비스,65700,684198,449,9.3178,0
10:30:18,003280,흥아해운,2385,51044031,1217,13.0332,-5
10:30:18,0007C0,아크릴,45250,2477139,1120,17.5325,-3
10:30:18,005860,한일사료,4360,24083096,1050,12.0823,-3
10:30:18,263750,펄어비스,65600,859469,563,9.1514,30
10:30:18,357880,SKAI,4335,12115340,525,16.8464,-16
11:00:23,475150,SK이터닉스,39500,8779525,3467,5.7564,-37
11:00:23,187660,현대ADM,18890,9819409,1854,3.7912,-18
11:00:23,003280,흥아해운,2410,60189551,1450,14.218,20
11:00:23,0007C0,아크릴,44850,2548589,1143,16.4935,-1
11:00:23,005860,한일사료,4380,24974315,1093,12.5964,-1
11:00:23,039980,폴라리스AI,2115,52252943,1105,20.5128,-18
11:00:23,263750,펄어비스,65400,966526,632,8.8186,22
11:00:23,357880,SKAI,4340,12865133,558,16.9811,-13
11:30:23,475150,SK이터닉스,40200,9354811,3760,7.6305,-64
11:30:23,187660,현대ADM,18830,10304719,1940,3.4615,-36
11:30:23,003280,흥아해운,2525,76607991,1934,19.6682,19
11:30:23,0007C0,아크릴,44350,2633167,1167,15.1948,0
11:30:23,039980,폴라리스AI,2075,59228731,1228,18.2336,-21
11:30:23,005860,한일사료,4395,25725577,1130,12.982,2
11:30:23,263750,펄어비스,65900,1078510,710,9.6506,33
11:30:23,357880,SKAI,4395,13368701,587,18.4636,-13
12:00:47,475150,SK이터닉스,40050,9683522,3878,7.2289,-61
12:00:47,187660,현대ADM,19040,10620028,2022,4.6154,-37
12:00:47,003280,흥아해운,2475,83529139,2067,17.2986,2
12:00:47,0007C0,아크릴,44800,2699379,1209,16.3636,1
12:00:47,005860,한일사료,4430,26099694,1156,13.8817,2
12:00:47,263750,펄어비스,66300,1174104,778,10.3161,35
12:00:47,357880,SKAI,4450,13877345,617,19.9461,-12
12:30:14,475150,SK이터닉스,40350,9997512,4033,8.0321,-64
12:30:14,003280,흥아해운,2580,95414742,2461,22.2749,37
12:30:14,187660,현대ADM,19040,11020208,2098,4.6154,-39
12:30:14,0007C0,아크릴,44000,2726815,1199,14.2857,0
12:30:14,005860,한일사료,4460,26757956,1193,14.653,2
12:30:14,263750,펄어비스,66000,1232783,813,9.817,34
12:30:14,357880,SKAI,4370,14158977,618,17.7898,-11
13:00:05,475150,SK이터닉스,40150,10264310,4121,7.4967,-57
13:00:05,003280,흥아해운,2515,106176255,2670,19.1943,-1
13:00:05,187660,현대ADM,18820,11298841,2126,3.4066,-41
13:00:05,0007C0,아크릴,46000,2890251,1329,19.4805,-9
13:00:05,005860,한일사료,4355,27427510,1194,11.9537,1
13:00:05,263750,펄어비스,65800,1304038,858,9.4842,0
13:30:07,003280,흥아해운,2425,115395111,2798,14.9289,13
13:30:07,0007C0,아크릴,45150,2952816,1333,17.2727,-6
13:30:07,005860,한일사료,4305,27841153,1198,10.6684,0
13:30:07,263750,펄어비스,66100,1386406,916,9.9834,32
14:00:10,003280,흥아해운,2350,122991083,2890,11.3744,8
14:00:10,0007C0,아크릴,44750,2995696,1340,16.2338,-1
14:00:10,005860,한일사료,4290,28427083,1219,10.2828,4
14:00:10,263750,펄어비스,66400,1482050,984,10.4825,32
14:30:07,475150,SK이터닉스,39200,10935751,4286,4.9531,-42
14:30:07,003280,흥아해운,2345,126196764,2959,11.1374,8
14:30:07,039980,폴라리스AI,2175,86337270,1877,23.9316,-23
14:30:07,0007C0,아크릴,44350,3033818,1345,15.1948,-1
14:30:07,005860,한일사료,4245,28733875,1219,9.126,8
14:30:07,263750,펄어비스,66100,1554131,1027,9.9834,33
15:00:12,003280,흥아해운,2375,128583458,3053,12.5592,8
15:00:12,039980,폴라리스AI,2150,94639580,2034,22.5071,-27
15:00:12,0007C0,아크릴,43400,3124763,1356,12.7273,0
15:00:12,005860,한일사료,4230,28987626,1226,8.7404,9
15:00:12,263750,펄어비스,65700,1631293,1071,9.3178,28
