Time,Code,Name,Price,Volume,Trade_Amt(100M),Rate(%),PG_Amt(100M),Market_Cap(100M)
09:00:05,282720,금양그린파워,17150,24853,4,4.6,0,2066
09:00:05,004150,한솔홀딩스,3695,83907,3,10.44,0,1497
09:00:05,297090,씨에스베어링,8270,33203,2,5.33,0,2263
09:00:05,006890,태경케미컬,8990,14546,1,3.93,0,1044
﻿09:00:07,047040,대우건설,16870,710473,119,4.51,0,70240
09:00:07,282720,금양그린파워,17200,26593,4,4.66,1,2068
09:00:07,004150,한솔홀딩스,3650,95961,3,10.14,-1,1493
09:00:07,297090,씨에스베어링,8290,35368,2,6.09,-1,2280
09:00:07,006890,태경케미컬,9020,14739,1,3.93,0,1044
09:05:02,047040,대우건설,16970,5962628,1011,5.01,-100,70573
09:05:02,322000,HD현대에너지솔루션,145400,442991,644,6.68,-68,16285
09:05:02,009830,한화솔루션,53800,1149501,618,8.34,59,92650
09:05:02,417200,LS머트리얼즈,25950,1841192,477,10.32,25,17725
09:05:02,036930,주성엔지니어링,70400,457252,321,14.92,84,32583
09:05:02,353200,대덕전자,82000,281280,230,6.08,51,40522
09:05:02,475150,SK이터닉스,63000,354643,223,18.62,-40,21501
09:05:02,090710,휴림로봇,14830,1459471,216,3.56,53,17727
09:05:02,008700,아남전자,1810,10310193,186,13.98,-3,1384
09:05:02,047050,포스코인터내셔널,76900,237233,182,7.24,77,135461
09:05:02,261780,차백신연구소,4695,3700622,173,16.77,4,1281
09:05:02,002780,진흥기업,1133,12984466,147,7.46,-7,1634
09:05:02,100090,SK오션플랜트,23900,588580,140,21.06,-50,14885
09:05:02,046120,오르비텍,11930,1102114,131,7.47,-14,3882
09:05:02,117580,대성에너지,11480,1109976,127,5.51,14,3160
09:05:02,006360,GS건설,28050,336439,94,8.29,-9,24048
09:05:02,069540,빛과전자,1843,4934248,90,7.88,-2,1767
09:05:02,096770,SK이노베이션,115700,72978,84,4.44,38,194749
09:05:02,033160,엠케이전자,18920,422843,80,8.41,3,4387
09:05:02,385510,KODEX 신재생에너지액,45180,172695,78,3.9,0,2686
09:05:02,327260,RF머트리얼즈,69400,98732,68,15.37,-8,5892
09:10:01,047040,대우건설,17190,12097267,2079,6.18,-122,71362
09:10:01,009830,한화솔루션,55600,2504941,1392,11.76,143,95572
09:10:01,322000,HD현대에너지솔루션,146900,577791,848,7.7,-86,16442
09:10:01,417200,LS머트리얼즈,26000,2855325,742,9.26,16,17556
09:10:01,036930,주성엔지니어링,69400,778351,540,13.61,99,32211
09:10:01,475150,SK이터닉스,62900,679845,427,16.57,-24,21130
09:10:01,100090,SK오션플랜트,24850,1405719,349,25.51,-53,15432
09:10:01,353200,대덕전자,82900,396845,328,7.37,85,41016
09:10:01,042700,한미반도체,318000,101898,324,3.58,107,303093
09:10:01,008700,아남전자,1917,16346273,313,21.03,-3,1469
09:10:01,261780,차백신연구소,4725,5964376,281,15.06,0,1263
09:10:01,006360,GS건설,29350,875885,257,11.95,-11,24861
09:10:01,047050,포스코인터내셔널,76300,296607,226,6.69,78,134757
09:10:01,002780,진흥기업,1137,16690077,189,8.8,-9,1654
09:10:01,033160,엠케이전자,19060,850900,162,5.08,-3,4253
09:10:01,117580,대성에너지,11290,1408186,158,3.67,6,3105
09:10:01,069540,빛과전자,1874,8363726,156,10.97,-7,1818
09:10:01,327260,RF머트리얼즈,70200,205826,144,17.19,-6,5985
09:10:01,375500,DL이앤씨,58300,240137,139,11.95,-2,22481
09:10:01,006910,보성파워텍,12510,932229,116,3.3,13,6151
09:10:01,096770,SK이노베이션,115600,98448,113,4.9,50,195594
09:10:01,000150,두산,1194000,8867,105,4.09,-6,193678
09:10:01,385510,KODEX 신재생에너지액,45450,227023,103,4.65,0,2706
09:10:01,053690,한미글로벌,24550,417219,102,4.97,-2,2663
09:15:01,047040,대우건설,17560,14133181,2481,8.6,-137,72983
09:15:01,009830,한화솔루션,54200,3086508,1672,8.94,79,93166
09:15:01,417200,LS머트리얼즈,26650,4075966,1086,12.21,33,18029
09:15:01,322000,HD현대에너지솔루션,144700,649896,940,6.24,-103,16218
09:15:01,036930,주성엔지니어링,68300,919534,628,12.3,105,31840
09:15:01,475150,SK이터닉스,62900,838456,527,17.13,-28,21231
09:15:01,353200,대덕전자,85000,558495,474,9.96,123,42004
09:15:01,0091P0,TIGER 코리아원자력,23335,1704921,397,3.6,0,7416
09:15:01,008700,아남전자,1894,19661067,372,20.14,-7,1458
09:15:01,046120,오르비텍,12570,2942396,369,14.75,1,4145
09:15:01,006360,GS건설,29550,1158079,342,13.68,-31,25247
09:15:01,261780,차백신연구소,4610,6845600,315,12.24,0,1232
09:15:01,047050,포스코인터내셔널,77200,378946,292,7.52,101,135812
09:15:01,375500,DL이앤씨,59900,359476,215,15.61,20,23216
09:15:01,006910,보성파워텍,12760,1639854,209,5.12,39,6259
09:15:01,033160,엠케이전자,18660,1081891,201,5.31,-3,4262
09:15:01,096770,SK이노베이션,117300,170311,199,6.26,72,198130
09:15:01,327260,RF머트리얼즈,71700,277378,198,18.35,-1,6044
09:15:01,069540,빛과전자,1929,10299819,198,14.34,10,1873
09:15:01,117580,대성에너지,11360,1544679,175,4.32,8,3124
09:15:01,003380,하림지주,16820,1004779,169,11.39,56,18839
09:15:01,440110,파두,59000,274325,161,3.33,3,29456
09:15:01,015760,한국전력,49800,315814,157,3.05,-23,319538
09:15:01,000150,두산,1191000,11597,138,3.31,-11,192221
09:15:01,388050,지투파워,13070,1085236,141,11.27,39,2438
09:15:01,010060,OCI홀딩스,227000,59993,136,14.78,0,42475
09:20:02,047040,대우건설,17970,18880470,3392,11.19,-111,74729
09:20:02,009830,한화솔루션,54000,3518464,1899,8.74,51,92994
09:20:02,417200,LS머트리얼즈,26500,5006665,1326,11.37,33,17894
09:20:02,322000,HD현대에너지솔루션,144000,720955,1038,5.43,-96,16094
09:20:02,475150,SK이터닉스,63800,1274427,813,18.44,-31,21468
09:20:02,036930,주성엔지니어링,69700,1121147,781,14.75,166,32537
09:20:02,100090,SK오션플랜트,24900,2860484,712,26.52,-99,15557
09:20:02,353200,대덕전자,82500,717734,592,7.76,128,41164
09:20:02,0091P0,TIGER 코리아원자력,23480,2176963,511,4.31,0,7467
09:20:02,006360,GS건설,29700,1613443,479,14.64,-43,25460
09:20:02,046120,오르비텍,12650,3726876,471,15.26,5,4163
09:20:02,008700,아남전자,1869,21448393,400,18.74,-5,1441
09:20:02,000720,현대건설,174500,215654,376,2.77,-76,193982
09:20:02,006910,보성파워텍,12990,2665003,346,7.34,75,6392
09:20:02,047050,포스코인터내셔널,76700,425258,326,6.96,110,135109
09:20:02,069540,빛과전자,2000,15954135,319,18.85,0,1947
09:20:02,003380,하림지주,16840,1802424,303,12.12,54,18963
09:20:02,375500,DL이앤씨,59500,493025,293,14.26,13,22945
09:20:02,187660,현대ADM,14850,1984994,294,3.34,7,8248
09:20:02,002780,진흥기업,1127,20377460,229,9.38,-11,1663
09:20:02,033160,엠케이전자,18980,1215346,230,7.45,-2,4349
09:20:02,096770,SK이노베이션,116100,197447,229,5.44,70,196608
09:20:02,327260,RF머트리얼즈,69200,309816,214,13.72,-4,5808
09:20:02,117580,대성에너지,11690,1832202,214,6.8,25,3198
09:20:02,388050,지투파워,13150,1497764,196,12.3,46,2460
09:20:02,0098F0,KODEX 원자력SMR,21770,812146,176,3.35,0,3091
09:20:02,044490,태웅,51900,328554,170,14.68,9,10394
